2018-05-07 11:39:43 connected to database successfully
2018-05-07 11:41:23 connected to database successfully
2018-05-07 11:43:50 connected to database successfully
2018-05-07 11:44:20 connected to database successfully
2018-05-07 11:44:43 connected to database successfully
2018-05-07 11:44:59 connected to database successfully
2018-05-07 11:46:04 connected to database successfully
2018-05-07 11:46:07 connected to database successfully
2018-05-07 11:46:30 connected to database successfully
2018-05-07 11:47:01 connected to database successfully
2018-05-07 11:47:42 connected to database successfully
2018-05-07 11:48:02 connected to database successfully
2018-05-07 11:49:28 connected to database successfully
2018-05-07 11:49:30 connected to database successfully
2018-05-07 11:49:37 connected to database successfully
2018-05-07 11:53:23 connected to database successfully
2018-05-07 11:53:39 connected to database successfully
2018-05-07 11:58:15 connected to database successfully
2018-05-07 11:58:17 connected to database successfully
2018-05-07 11:58:40 Data recived successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
2018-05-07 11:58:40 data inserted successfully
